MD,Inc,Azi
913,4.51,140.29
914,4.53,139.96
915,4.54,139.7
916,4.55,139.57
917,4.56,139.53
918,4.57,139.53
919,4.58,139.53
920,4.59,139.52
921,4.6,139.54
922,4.61,139.68
923,4.63,139.91
924,4.65,140.18
925,4.67,140.45
926,4.69,140.67
927,4.71,140.81
928,4.74,140.92
929,4.77,141.04
930,4.81,141.21
931,4.84,141.42
932,4.88,141.63
933,4.92,141.84
934,4.96,142.02
935,5,142.13
936,5.03,142.14
937,5.07,142.06
938,5.1,141.9
939,5.13,141.71
940,5.15,141.5
941,5.17,141.33
942,5.19,141.27
943,5.2,141.35
944,5.21,141.5
945,5.22,141.63
946,5.23,141.73
947,5.24,141.83
948,5.25,141.96
949,5.27,142.12
950,5.29,142.27
951,5.3,142.45
952,5.32,142.6
953,5.34,142.69
954,5.36,142.7
955,5.38,142.68
956,5.4,142.71
957,5.43,142.83
958,5.46,143.02
959,5.49,143.24
960,5.52,143.45
961,5.56,143.63
962,5.59,143.77
963,5.63,143.87
964,5.67,143.93
965,5.71,143.92
966,5.74,143.82
967,5.77,143.65
968,5.8,143.43
969,5.82,143.18
970,5.84,142.95
971,5.86,142.79
972,5.87,142.75
973,5.88,142.8
974,5.89,142.88
975,5.9,142.92
976,5.9,142.94
977,5.91,142.99
978,5.93,143.09
979,5.94,143.2
980,5.96,143.31
981,5.97,143.42
982,5.99,143.49
983,6.02,143.51
984,6.04,143.48
985,6.07,143.45
986,6.1,143.5
987,6.13,143.61
988,6.16,143.77
989,6.2,143.95
990,6.24,144.14
991,6.28,144.32
992,6.32,144.45
993,6.36,144.55
994,6.41,144.59
995,6.45,144.58
996,6.48,144.49
997,6.52,144.29
998,6.55,144.07
999,6.57,143.9
1000,6.59,143.83
1001,6.61,143.81
1002,6.62,143.79
1003,6.63,143.74
1004,6.64,143.72
1005,6.64,143.7
1006,6.65,143.69
1007,6.66,143.71
1008,6.67,143.79
1009,6.68,143.95
1010,6.7,144.13
1011,6.71,144.26
1012,6.73,144.29
1013,6.75,144.28
1014,6.78,144.31
1015,6.81,144.4
1016,6.84,144.52
1017,6.87,144.67
1018,6.91,144.83
1019,6.95,145.01
1020,6.99,145.2
1021,7.04,145.38
1022,7.09,145.53
1023,7.15,145.63
1024,7.21,145.7
1025,7.27,145.72
1026,7.33,145.69
1027,7.39,145.6
1028,7.44,145.41
1029,7.49,145.16
1030,7.53,144.88
1031,7.57,144.61
1032,7.6,144.42
1033,7.61,144.34
1034,7.63,144.25
1035,7.65,144.17
1036,7.67,144.11
1037,7.68,144.06
1038,7.7,144.03
1039,7.72,144.02
1040,7.74,144.09
1041,7.76,144.19
1042,7.77,144.25
1043,7.79,144.34
1044,7.81,144.44
1045,7.83,144.49
1046,7.85,144.52
1047,7.88,144.52
1048,7.92,144.48
1049,7.96,144.45
1050,8,144.45
1051,8.04,144.46
1052,8.06,144.47
1053,8.09,144.5
1054,8.12,144.53
1055,8.14,144.55
1056,8.17,144.58
1057,8.2,144.62
1058,8.22,144.65
1059,8.25,144.68
1060,8.29,144.74
1061,8.33,144.8
1062,8.37,144.87
1063,8.41,144.95
1064,8.44,145.02
1065,8.46,145.05
1066,8.49,145.1
1067,8.52,145.16
1068,8.54,145.2
1069,8.57,145.24
1070,8.6,145.3
1071,8.63,145.33
1072,8.65,145.37
1073,8.69,145.44
1074,8.73,145.49
1075,8.77,145.54
1076,8.82,145.57
1077,8.85,145.6
1078,8.89,145.63
1079,8.93,145.66
1080,8.97,145.69
1081,8.98,145.7
1082,9.01,145.73
1083,9.05,145.77
1084,9.08,145.8
1085,9.12,145.84
1086,9.16,145.87
1087,9.19,145.92
1088,9.23,145.96
1089,9.27,146.01
1090,9.3,146.06
1091,9.34,146.13
1092,9.37,146.19
1093,9.41,146.25
1094,9.44,146.32
1095,9.47,146.37
1096,9.49,146.41
1097,9.52,146.45
1098,9.56,146.52
1099,9.59,146.59
1100,9.63,146.66
1101,9.67,146.72
1102,9.71,146.78
1103,9.75,146.83
1104,9.79,146.88
1105,9.84,146.93
1106,9.88,146.99
1107,9.92,147.03
1108,9.96,147.06
1109,10.01,147.14
1110,10.06,147.2
1111,10.11,147.29
1112,10.12,147.12
1113,10.16,147.16
1114,10.2,147.18
1115,10.25,147.18
1116,10.29,147.16
1117,10.33,147.14
1118,10.37,147.15
1119,10.4,147.15
1120,10.43,147.15
1121,10.47,147.2
1122,10.5,147.25
1123,10.53,147.27
1124,10.56,147.29
1125,10.59,147.32
1126,10.62,147.36
1127,10.64,147.39
1128,10.66,147.44
1129,10.69,147.49
1130,10.7,147.52
1131,10.73,147.55
1132,10.75,147.59
1133,10.76,147.62
1134,10.78,147.63
1135,10.8,147.65
1136,10.82,147.67
1137,10.83,147.69
1138,10.85,147.71
1139,10.87,147.69
1140,10.89,147.66
1141,10.91,147.63
1142,10.94,147.58
1143,10.99,147.52
1144,11.03,147.52
1145,11.06,147.54
1146,11.09,147.58
1147,11.12,147.62
1148,11.15,147.62
1149,11.18,147.64
1150,11.2,147.69
1151,11.22,147.76
1152,11.23,147.85
1153,11.24,147.93
1154,11.25,147.97
1155,11.27,147.99
1156,11.28,147.97
1157,11.29,147.91
1158,11.3,147.9
1159,11.31,147.92
1160,11.32,147.9
1161,11.34,147.86
1162,11.35,147.82
1163,11.37,147.74
1164,11.38,147.67
1165,11.4,147.64
1166,11.42,147.61
1167,11.44,147.58
1168,11.46,147.6
1169,11.49,147.65
1170,11.53,147.71
1171,11.57,147.78
1172,11.6,147.86
1173,11.64,147.96
1174,11.68,148.06
1175,11.7,148.11
1176,11.73,148.17
1177,11.76,148.27
1178,11.79,148.34
1179,11.81,148.36
1180,11.82,148.38
1181,11.84,148.38
1182,11.85,148.39
1183,11.88,148.41
1184,11.9,148.44
1185,11.93,148.5
1186,11.96,148.62
1187,12,148.71
1188,12.04,148.75
1189,12.08,148.8
1190,12.12,148.83
1191,12.17,148.87
1192,12.21,148.93
1193,12.24,148.96
1194,12.28,148.99
1195,12.31,149.02
1196,12.34,149.03
1197,12.36,149.06
1198,12.39,149.08
1199,12.41,149.1
1200,12.42,149.12
1201,12.43,149.12
1202,12.45,149.12
1203,12.46,149.1
1204,12.47,149.08
1205,12.49,149.08
1206,12.5,149.06
1207,12.51,149.04
1208,12.53,149.03
1209,12.54,149.03
1210,12.56,149.05
1211,12.58,149.05
1212,12.6,149.04
1213,12.61,149.04
1214,12.63,149.04
1215,12.65,149.05
1216,12.67,149.06
1217,12.69,149.09
1218,12.71,149.12
1219,12.72,149.13
1220,12.74,149.13
1221,12.76,149.16
1222,12.78,149.18
1223,12.8,149.2
1224,12.81,149.21
1225,12.83,149.21
1226,12.84,149.2
1227,12.86,149.17
1228,12.88,149.17
1229,12.89,149.2
1230,12.91,149.2
1231,12.93,149.21
1232,12.95,149.25
1233,12.97,149.27
1234,12.98,149.29
1235,13.01,149.3
1236,13.03,149.32
1237,13.05,149.36
1238,13.07,149.39
1239,13.1,149.4
1240,13.12,149.43
1241,13.14,149.44
1242,13.15,149.44
1243,13.17,149.45
1244,13.19,149.46
1245,13.2,149.45
1246,13.22,149.47
1247,13.23,149.47
1248,13.24,149.46
1249,13.25,149.45
1250,13.27,149.44
1251,13.29,149.47
1252,13.3,149.48
1253,13.31,149.47
1254,13.33,149.45
1255,13.34,149.46
1256,13.36,149.5
1257,13.38,149.52
1258,13.39,149.5
1259,13.41,149.49
1260,13.43,149.52
1261,13.45,149.53
1262,13.47,149.53
1263,13.5,149.54
1264,13.52,149.56
1265,13.55,149.56
1266,13.57,149.56
1267,13.6,149.58
1268,13.63,149.62
1269,13.67,149.65
1270,13.69,149.65
1271,13.73,149.62
1272,13.77,149.62
1273,13.81,149.64
1274,13.84,149.64
1275,13.88,149.63
1276,13.91,149.65
1277,13.96,149.69
1278,14,149.7
1279,14.03,149.7
1280,14.06,149.72
1281,14.09,149.72
1282,14.13,149.72
1283,14.16,149.73
1284,14.19,149.75
1285,14.21,149.76
1286,14.24,149.76
1287,14.26,149.78
1288,14.28,149.81
1289,14.3,149.82
1290,14.32,149.8
1291,14.34,149.8
1292,14.36,149.81
1293,14.38,149.8
1294,14.4,149.78
1295,14.41,149.76
1296,14.43,149.75
1297,14.45,149.76
1298,14.47,149.77
1299,14.49,149.76
1300,14.51,149.76
1301,14.53,149.77
1302,14.54,149.78
1303,14.56,149.79
1304,14.58,149.8
1305,14.6,149.82
1306,14.62,149.84
1307,14.63,149.85
1308,14.65,149.86
1309,14.68,149.89
1310,14.7,149.92
1311,14.73,149.95
1312,14.75,149.97
1313,14.77,150
1314,14.79,150
1315,14.81,149.99
1316,14.84,150.01
1317,14.86,150.04
1318,14.88,150.05
1319,14.9,150.04
1320,14.93,150.04
1321,14.95,150.04
1322,14.96,150.02
1323,14.98,149.99
1324,15.02,149.99
1325,15.04,150.03
1326,15.06,150.06
1327,15.08,150.09
1328,15.1,150.12
1329,15.11,150.16
1330,15.11,150.18
1331,15.11,150.18
1332,15.13,150.19
1333,15.15,150.19
1334,15.16,150.17
1335,15.17,150.14
1336,15.19,150.12
1337,15.2,150.1
1338,15.22,150.09
1339,15.24,150.07
1340,15.27,150.07
1341,15.29,150.07
1342,15.33,150.06
1343,15.37,150.04
1344,15.41,150.06
1345,15.45,150.09
1346,15.5,150.1
1347,15.55,150.13
1348,15.6,150.18
1349,15.64,150.22
1350,15.69,150.23
1351,15.73,150.23
1352,15.77,150.27
1353,15.81,150.31
1354,15.84,150.33
1355,15.88,150.34
1356,15.92,150.36
1357,15.94,150.37
1358,15.97,150.37
1359,15.99,150.37
1360,16.02,150.37
1361,16.04,150.38
1362,16.07,150.36
1363,16.1,150.34
1364,16.12,150.31
1365,16.15,150.3
1366,16.16,150.29
1367,16.18,150.31
1368,16.19,150.34
1369,16.22,150.36
1370,16.24,150.37
1371,16.26,150.37
1372,16.28,150.38
1373,16.3,150.39
1374,16.32,150.41
1375,16.34,150.45
1376,16.36,150.46
1377,16.37,150.46
1378,16.39,150.46
1379,16.41,150.47
1380,16.43,150.46
1381,16.44,150.45
1382,16.46,150.43
1383,16.48,150.43
1384,16.49,150.42
1385,16.51,150.38
1386,16.54,150.31
1387,16.58,150.3
1388,16.61,150.3
1389,16.65,150.29
1390,16.67,150.29
1391,16.69,150.29
1392,16.71,150.3
1393,16.73,150.32
1394,16.76,150.38
1395,16.78,150.44
1396,16.79,150.51
1397,16.82,150.55
1398,16.85,150.56
1399,16.88,150.6
1400,16.92,150.63
1401,16.95,150.65
1402,16.97,150.65
1403,17,150.68
1404,17.02,150.69
1405,17.04,150.67
1406,17.06,150.68
1407,17.07,150.71
1408,17.08,150.7
1409,17.09,150.66
1410,17.1,150.66
1411,17.1,150.65
1412,17.11,150.65
1413,17.13,150.65
1414,17.14,150.65
1415,17.16,150.68
1416,17.19,150.69
1417,17.22,150.69
1418,17.25,150.7
1419,17.28,150.74
1420,17.31,150.77
1421,17.35,150.79
1422,17.38,150.8
1423,17.41,150.84
1424,17.43,150.86
1425,17.45,150.84
1426,17.47,150.83
1427,17.5,150.79
1428,17.54,150.76
1429,17.57,150.75
1430,17.61,150.77
1431,17.65,150.79
1432,17.69,150.8
1433,17.72,150.79
1434,17.76,150.8
1435,17.8,150.83
1436,17.85,150.84
1437,17.89,150.84
1438,17.93,150.85
1439,17.96,150.86
1440,18,150.86
1441,18.03,150.89
1442,18.05,150.92
1443,18.07,150.93
1444,18.1,150.93
1445,18.12,150.96
1446,18.14,150.97
1447,18.16,150.97
1448,18.18,150.96
1449,18.2,150.98
1450,18.22,150.99
1451,18.24,150.97
